Reference
ILS 2280
"Sanader, Milićević Bradač, Demicheli 2007"
"Sanader, Milićević Bradač, Demicheli 2010"
"Radman Livaja 2010, 108-109 no. 114"
HD040157
"BD-VAHD (1) 1878, 19 no.23"
"BD-VAHD (26) 1903, 134-135 no. 3244 "
"Fadić 1997, 81 no. 9"
HD034287
"BD-VAHD (23) 1900, 118"
"Miločević 1998, 182"
"Višić-Ljubić 2008, 122-123 no. 5"
HD028366
"Atanacković-Salčić 1981, 265 no. 4"
"Bojanovski 1988, 384 no. 44"
"Škegro 1997, 86 no. 4"
"Čerina, Rismondo 2004 no. 9"
"Dodig 2005a, 211 no.5"
HD056521
HD034234
"Hofmann 1905, 59-60 no. 47"
"Fadić 1997, 81 no. 5"
HD058789
"BD-VAHD (17) 1894, 5 no. 3"
"Patsch 1897b, 350"
HD061690
"BD-VAHD (1) 1878, 19 no.27"
"Hofmann 1905, 50 no. 38"
"Fadić 1997, 81 no.19"
HD051029
HD062405
"BD-VAHD (27) 1904 , 157 no. 3164"
"Egger 1926, 67, no. 2"
"Miletić 1989a, 108-109"
"Miletić 1990, 183-186"
HD034679
"Brøndsted 1928, 158 no. 5"
"BD-VAHD (50) 1928-1929, 13 no. 5"
"Miletić 1989a, 99, 105 pl. XV"
"Miletić 1990, 170-171 fig. 3, 179"
HD035037
"Wilkes 1966, 463"
"Bojanovski 1988, 383 no. 5, 385 no. 52."
HD053445
"Lanza 1856, 78-80 no. 50"
"Miletić 1989a, 101, 105-106"
"Miletić 1990, 179"
HD063317
"BD-VAHD (51) 1930-1934, 230"
"Abramić 1940, 230-231 pl. 36.1"
HD021072
"Hoernes 1880, 40 no. 3"
"Bojanovski 1988, 365 no.54"
"Dodig 2005a, 210 no.3"
HD058391
"BD-VAHD (36) 1913, 14-15 no. 4407 A"
"Miletić 1992, 33"
HD034434
HD062557
"Zelenika 1961, 323-325"
"Paškvalin 1985, 120-122"
"Atanacković-Salšić 1981, 265-266 no. 5"
"Škegro 1997b, 86 no. 2"
"Dodig 2005a, 210 no. 4"
HD034084
"Cambi 1986, 61-62, pl. 8.1."
HD039722
Dodig 2002
"Dodig 2005a, 213 no. 11"
HD045055
"Fadić 1997, 81 no.6"
HD051028
"BD-VAHD (1) 1878, 34 no.32"
"Wilkes 1969, 469"
HD061959
"Patsch 1908, 110 no. 30"
"Patsch 1914, 167 no. 34"
"Bojanovski, GodAkSarajevo 15, 1977, 113 no. 3, 1."
"Dodig 2005a, 211 no. 7"
HD034241
"BD-VAHD (4) 1881, 33 no. 7"
HD062460
"BD-VAHD (9) 1886, 6 no. 2"
HD058437
"BD-VAHD (1) 1878, 34 no. 32"
"Fadić 1997, 81 no. 14"
HD058854
"BD-VAHD (37) 1914, 55 no. 4576 A"
"Miletić 1992, 23-25 fig. 1"
HD034436
"Brønsted 1928, 157-8 no. 4"
HD035036
"BD-VAHD (1) 1878, 16 no. 26"
"Fadić 1997, 81 no. 15"
HD058855
HD000600
"Atanacković-Salšić 1981, 273 no. 14"
"Bojanovski 1988, 386 no. 77"
"Škegro 1997b, 86 no. 1"
"Marin et al. 2000, 510 no. 1"
"Dodig 2005a, 212 no. 9"
HD039810
"BD-VAHD (8) 1885, 92 no. 272"
HD062524
"Hörmann 1890, 306-308"
 ILS 5959
"Patsch 1914, 175 fig. 50"
"Patsch 1915, 64 fig. 50"
"Wilkes 1974, 267"
HD053672
Mitchell 1973
Whately 2016
"Bean 1959, 93"
"IGRRP 3, 1476"
"JHS(22), 356"
Matijević 2017: 126-127
HD058594
"BD-VAHD (22) 1899, 58-59 no. 2570 A"
HD061551
HD061333
"Wilkes 1969, 46"
"Alföldy, 1969, Die Personennamen der römischen Provinz Dalmatia, 236, 266."
HD063539
"BD-VAHD (26) 1903, 189 no. 3228"

"BD-VAHD (18) 1895, 216 no. 2111"
"Miletić 1989a, 105"
"Miletić 1990a, 179"
HD062028
HD062587
"BD-VAHD (26) 1903, 133 no. 3239"
 HD034296
HD063895
"BD-VAHD (27) 1904, 53 no. A 3209"
"Miletić 1989a, 101"
" Miletić 1990a, 174"
"BD-VAHD (63/64) 1961/1962, 236-7 no. 15"
"Fadić 1997, 81 no. 21"
"Milošević 1998, 246"
HD034182
"BD-VAHD (10) 1887, 154 no. 172"
" Zeiller 1931, 109-110"
HD057704
"Jelčić 1981, 98-100"
HD003120
"Zaninović 1967, 47"
HD060571
"BD-VAHD (2) 1879, 146 no. 30"
"BD-VAHD (5) 1883, no. 65"
"Hirschfeld 1885, 4-5 no. 1"
"Abramić, Colnago 1909, 31-32 no. 2"
"Wilkes 1974, 260 no. 6"
HD035656
ILS 5953
"BD-VAHD (1) 1878, 88 no. 1"
"Hula 1890, 103"
"Jagentuefel 1958, 17 no. 41"
"Wilkes 1974, 259-260 no. 4"
HD053670
"BD-VAHD (12) 1889, 145 no. 128"
"Hula 1890, 104"
"Jagentuefel 1958, 17 nos. 4, 5"
ILS 5948
"Wilkes 1974, 265 no. 17"
HD041864
"Hula 1890, 102"
"Patsch 1895, 415 no. 77"
"Patsch 1897, 212-213 no. 77"
"Bulić 1889a, 97"
"BD-VAHD (12) 1889, 116"
ILS 5949
"Jagentuefel 1958, 17 nos. 4, 6"
"Wilkes 1974, 263 no. 12"
HD041949
"BD-VAHD (13) 1890, 145 no. 79"
"Jagenteufel 1958, 18 no. 4, 9"
"Wilkes 1974, 266 no. 19"
Suić 2003
HD053585
HD045056
"Tončinić, Tabak, Librenjak 2011, cat. no. 1"
"Tončinić, Tabak, Librenjak 2011, cat. no. 2"
"Tončinić, Tabak, Librenjak 2011, cat. no. 3"
"Tončinić, Tabak, Librenjak 2011, cat. no. 4"
"Tončinić, Tabak, Librenjak 2011, cat. no. 5"
"Tončinić, Tabak, Librenjak 2011, cat. no. 6"
"Tončinić, Tabak, Librenjak 2011, cat. no. 7"
"Tončinić, Tabak, Librenjak 2011, cat. no. 8"
"Babić 2008, 233 cat. no. 94"
"Tončinić, Tabak, Librenjak 2011, cat. no. 9"
"Tončinić, Tabak, Librenjak 2011, cat. no.10"
"Tončinić, Tabak, Librenjak 2011, cat. no. 11"
"Tončinić, Tabak, Librenjak 2011, cat. no. 15"
"Tončinić, Tabak, Librenjak 2011, cat. no. 16"
"Tončinić, Tabak, Librenjak 2011, cat. no. 17"
"Tončinić, Tabak, Librenjak 2011, cat. no. 26"
"Tončinić 2003, 226 no. 18 pl. 3.2"
"Tončinić, Tabak, Librenjak 2011, cat. no. 27"
