EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-30300648	CIL 03, 08071b = IDR-03-01, 00072d	Dacia	Mehadia / Ad Mediam			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T395422 | https://www.trismegistos.org/text/395422	44.9041136	22.3645155	http://www.trismegistos.org/place/30103		
EDCS-09301204	CIL 03, 08071a = ILD 00733 = AE 1977, 00664 = AE 1979, 00501b = AE 2015, +01143	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD020518;HD008338;T179015 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD020518 | https://www.trismegistos.org/text/179015	47.1785601	23.1562529	http://www.trismegistos.org/place/30156		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$ILD_00733.jpg
EDCS-71800332	IDR-App-01-08, 00001	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500036	IDR-App-01-08, 00002	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500037	IDR-App-01-08, 00003	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500038	IDR-App-01-08, 00004	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500039	IDR-App-01-08, 00005	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500040	IDR-App-01-08, 00006	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500041	IDR-App-01-08, 00007	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500042	IDR-App-01-08, 00008	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix)
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500043	IDR-App-01-08, 00009	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix) // L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$IDR-App-01-08_00009.jpg
EDCS-71500044	IDR-App-01-08, 00010	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) F(elix) // [L(egio) VII] G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
EDCS-71500045	IDR-App-01-08, 00011	Dacia	Moigrad-Porolissum / Mirsid / Porolissum	213	217	milites; sigilla impressa; tituli fabricationis	"L(egio) VII G(emina) [F(elix)]
material: opus figlinae"		47.1785601	23.1562529	http://www.trismegistos.org/place/30156		
