EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-03000748	"Legio-VII 00033 = VarSal 00017 = AE 1996, 01215 = AE 2001, +01606"	Dalmatia	Solin / Salona	31	70	milites; mulieres; tituli sepulcrales; tria nomina; viri	C(aius) Lollius C(ai) f(ilius) Pap(iria) Valens / veter(anus) leg(ionis) VII C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) / sibi et Hostiliae P(ubli) f(iliae) Secu[ndae] / coniugi sanctissi[mae]	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039979;lu_21457 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039979	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-05000668	"Legio-VII 00041 = AE 1991, 01291"	Dalmatia	Solin / Salona	42	57	milites; tituli sepulcrales; tria nomina; viri	Q(uintus) Mettius Q(uinti) f(ilius) / Volt(inia) Valens / mil(es) leg(ionis) VII C(laudiae) P(iae) F(idelis) / an(norum) XXXVIII stip(endiorum) XIIX / t(estamento) f(ieri) i(ussit)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0020226;HD039727 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039727 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0020226	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00041.jpg
EDCS-05000667	"Legio-VII 00059 = AE 1991, 01290"	Dalmatia	Solin / Salona	9	42	liberti/libertae; milites; mulieres; praenomen et nomen; tituli sepulcrales; viri	Q(uintus) Valerius / Q(uinti) f(ilius) Corn(elia) / Edessa mil(es) / leg(ionis) VII ann(orum) / XXXV stip(endiorum) XII / t(estamento) f(ieri) i(ussit) L(ucius) Valerius / h(eres) p(osuit) et Valeria / Quinta l(iberta) h(ic) s(itus) e(st)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0020227;HD039722 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039722 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0020227	43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00059.jpg
EDCS-55300316	Legio-VII 00086	Dalmatia	Solin / Salona			milites; tituli sepulcrales; viri	]SF[3] / [3 leg(ionis) 3] C(laudiae) P(iae) [F(idelis) 3] / [3]XIIX[3] / [3]CFT[		43.5441591	16.4919213			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00086.jpg
EDCS-29500345	"CIL 03, 09832 (p 2328,11) = D 05949 = Legio-VII 00096 = Grbic 00018 = AE 1890, 00011"	Dalmatia	Tepljuh / Promona	37	41	Augusti/Augustae; milites; ordo equester; ordo senatorius; praenomen et nomen; termini; viri	"Vib]ullius t[rib(unus?)] / [le]g(ionis) VII et L(ucius) Sa[l]/[vius] M(arcus) Sueto ce[n]/[t]uriones leg(ionis) X[I] / [iu]dices d[a]ti ex / [co]<n=M>ventione a / [L(ucio) V]olusio Satur/[ni]no leg(ato) pro pr(aetore) / [C(ai) C]aesaris Aug(usti) / [Ger]manici inter / [3]tine[s] e[t 3]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD041949;de_21dessuoft%23page/466/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD041949	43.8933717	16.2085222			
EDCS-30200377	"CIL 03, 08781 = CIL 03, 09738 = ILJug-03, 01941 = Legio-VII 00043"	Dalmatia	Tomislavgrad / Duvno / Zupanjac / Delminium	31	70	milites; praenomen et nomen; tituli sepulcrales; viri	"Q(uintus) Murrius / Q(uinti) f(ilius) Ser(gia) Augusta / mil(es) leg(ionis) [3 an]n(orum) XXXV / stip(endiorum) VI[3 h(ic) s(itus)] e(st)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034287 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034287	43.7165551	17.2303272			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00043.jpg
EDCS-10000746	"ILJug-02, 00733 = Legio-VII 00087"	Dalmatia	Trilj / Tilurium	1	100	milites; tituli sepulcrales; viri	"c]enturio le[g(ionis) VII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034182 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034182	43.617857	16.7286894			
EDCS-10100891	"ILJug-03, 01949 = Legio-VII 00014"	Dalmatia	Trilj / Tilurium	1	50	praenomen et nomen; tituli sepulcrales; tria nomina; viri	"L(ucius) Fabius C(ai) f(ilius) / Serg(ia) Conana / ann(orum) XX[3] / h(ic) s(itus) [e(st)] / C(aius) Fabius pa[ter] / filio posuit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034293 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034293	43.617857	16.7286894			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00014.jpg;$PF_ILJug-03_01949.jpg
EDCS-10100892	"ILJug-03, 01950 = CLE 01876 = Legio-VII 00020"	Dalmatia	Trilj / Tilurium	1	40	carmina; liberti/libertae; milites; nomen singulare; tituli sepulcrales; tria nomina; viri	"C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / morarus iam scies quae / debeas vixi qua potui ca/rus sum Opiorum hic su/m sepultus hic ossua re/quiescum mea vale et / bene facito vitae dum fa/tum venit // Faustus l(ibertus) patrono
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034294;m|ce|1876 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034294	43.617857	16.7286894			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Legio-VII_00020.jpg
EDCS-10100894	"ILJug-03, 01952 = Legio-VII 00084"	Dalmatia	Trilj / Tilurium	31	70	milites; tituli sepulcrales; viri	"]S C Pala/[tina(?) 3 leg(ionis)] VII / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034296 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034296	43.617857	16.7286894			
